'Robert Griffin III','BAL',30,current_timestamp,current_timestamp,4,1,8,14,42,0,2
'Nate Sudfeld','PHI',27,current_timestamp,current_timestamp,1,0,5,12,32,0,1
'Jameis Winston','NOR',26,current_timestamp,current_timestamp,4,0,7,11,75,0,0
'David Blough','DET',25,current_timestamp,current_timestamp,1,0,6,10,49,0,1
'Case Keenum','CLE',32,current_timestamp,current_timestamp,2,0,5,10,46,0,0
'Trace McSorley','BAL',25,current_timestamp,current_timestamp,2,0,3,10,90,1,0
'Kendall Hinton','DEN',23,current_timestamp,current_timestamp,1,0,1,9,13,0,2
'Jacoby Brissett','IND',28,current_timestamp,current_timestamp,11,0,2,8,17,0,0
'Tyler Bray','CHI',29,current_timestamp,current_timestamp,1,0,1,5,18,0,0
'Joshua Dobbs','PIT',25,current_timestamp,current_timestamp,1,0,4,5,2,0,0
'Tyler Huntley','BAL',22,current_timestamp,current_timestamp,2,0,3,5,15,0,0
'Nathan Peterman','LVR',26,current_timestamp,current_timestamp,1,0,3,5,25,0,0
'Geno Smith','SEA',30,current_timestamp,current_timestamp,1,0,4,5,33,0,0
'Jarvis Landry','CLE',28,current_timestamp,current_timestamp,15,14,4,4,74,1,0
'Logan Woodside','TEN',25,current_timestamp,current_timestamp,6,0,1,3,7,0,0
'Lynn Bowden Jr.','MIA',23,current_timestamp,current_timestamp,10,4,1,2,32,0,0
'Tyler Boyd','CIN',26,current_timestamp,current_timestamp,15,8,1,2,16,0,0
'Julian Edelman','NWE',34,current_timestamp,current_timestamp,6,1,2,2,38,0,0
'Russell Gage','ATL',24,current_timestamp,current_timestamp,16,8,1,2,39,1,0
'Travis Kelce','KAN',31,current_timestamp,current_timestamp,15,15,1,2,4,0,0
'Jakobi Meyers','NWE',24,current_timestamp,current_timestamp,14,9,2,2,43,2,0
'Golden Tate','NYG',32,current_timestamp,current_timestamp,12,4,1,2,18,0,0
'Cedrick Wilson Jr.','DAL',25,current_timestamp,current_timestamp,16,0,2,2,23,1,0
'Jamal Agnew','DET',25,current_timestamp,current_timestamp,14,2,0,1,0,0,0
'Keenan Allen ','LAC',28,current_timestamp,current_timestamp,14,13,0,1,0,0,0
'Cole Beasley','BUF',31,current_timestamp,current_timestamp,15,10,1,1,20,1,0
'Odell Beckham Jr.','CLE',28,current_timestamp,current_timestamp,7,7,1,1,18,0,0
'Joseph Charlton','CAR',23,current_timestamp,current_timestamp,16,0,1,1,28,0,0
'Randall Cobb','HOU',30,current_timestamp,current_timestamp,10,2,0,1,0,0,0
'Jamison Crowder','NYJ',27,current_timestamp,current_timestamp,12,7,1,1,43,1,0
'Riley Dixon','NYG',27,current_timestamp,current_timestamp,16,0,0,1,0,0,0
'Alex Erickson','CIN',28,current_timestamp,current_timestamp,16,2,0,1,0,0,0
'Jaquan Johnson','BUF',25,current_timestamp,current_timestamp,14,0,1,1,13,0,0
'Chris Jones','DAL',31,current_timestamp,current_timestamp,8,0,0,1,0,0,0
'Zay Jones','LVR',25,current_timestamp,current_timestamp,16,2,1,1,29,0,0
'Brett Kern','TEN',34,current_timestamp,current_timestamp,13,0,0,1,0,0,0
