'Mark Ingram','BAL',31,11,9,72,299,2,current_timestamp,current_timestamp
'Rex Burkhead','NWE',30,10,0,67,274,3,current_timestamp,current_timestamp
'Daniel Jones','NYG',23,14,14,65,423,1,current_timestamp,current_timestamp
'Cordarrelle Patterson','CHI',29,16,3,64,232,1,current_timestamp,current_timestamp
'La'Mical Perine','NYJ',22,10,0,64,232,2,current_timestamp,current_timestamp
'Jalen Hurts','PHI',22,15,4,63,354,3,current_timestamp,current_timestamp
'Samaje Perine','CIN',25,16,1,63,301,3,current_timestamp,current_timestamp
'Ito Smith','ATL',25,14,0,63,268,1,current_timestamp,current_timestamp
'Patrick Mahomes ','KAN',25,15,15,62,308,2,current_timestamp,current_timestamp
'Matt Breida','MIA',25,12,1,59,254,0,current_timestamp,current_timestamp
'Justin Jackson','LAC',24,9,4,59,270,0,current_timestamp,current_timestamp
'Christian McCaffrey','CAR',24,3,3,59,225,5,current_timestamp,current_timestamp
'Justin Herbert','LAC',22,15,15,55,234,5,current_timestamp,current_timestamp
'Alfred Morris','NYG',32,9,0,55,238,1,current_timestamp,current_timestamp
'Devonta Freeman','NYG',28,5,4,54,172,1,current_timestamp,current_timestamp
'Ty Johnson','2TM',23,13,1,54,254,1,current_timestamp,current_timestamp
'Baker Mayfield','CLE',25,16,16,54,165,1,current_timestamp,current_timestamp
'Teddy Bridgewater','CAR',28,15,15,53,279,5,current_timestamp,current_timestamp
'Kerryon Johnson','DET',23,16,2,52,181,2,current_timestamp,current_timestamp
'Carson Wentz','PHI',28,12,12,52,276,5,current_timestamp,current_timestamp
'Jared Goff','LAR',26,15,15,51,99,4,current_timestamp,current_timestamp
'Jeremy McNichols','TEN',25,16,0,47,204,1,current_timestamp,current_timestamp
'AJ Dillon','GNB',22,11,0,46,242,2,current_timestamp,current_timestamp
'Drew Lock','DEN',24,13,13,44,160,3,current_timestamp,current_timestamp
'Ryan Tannehill','TEN',32,16,16,43,266,7,current_timestamp,current_timestamp
'Curtis Samuel','CAR',24,15,5,41,200,2,current_timestamp,current_timestamp
'Rodney Smith','CAR',24,7,1,41,156,1,current_timestamp,current_timestamp
'Derek Carr','LVR',29,16,16,39,140,3,current_timestamp,current_timestamp
'Jamycal Hasty','SFO',24,8,0,39,148,1,current_timestamp,current_timestamp
'Darrel Williams','KAN',25,16,0,39,169,1,current_timestamp,current_timestamp
