'Will Fuller','HOU',26,11,11,75,53,879,8,current_timestamp,current_timestamp
'Mike Gesicki','MIA',25,15,9,85,53,703,6,current_timestamp,current_timestamp
'Greg Ward','PHI',25,16,10,79,53,419,6,current_timestamp,current_timestamp
'Ezekiel Elliott','DAL',25,15,15,71,52,338,2,current_timestamp,current_timestamp
'Jerry Jeudy','DEN',21,16,14,113,52,856,3,current_timestamp,current_timestamp
'Josh Reynolds','LAR',25,16,13,81,52,618,2,current_timestamp,current_timestamp
'Robert Tonyan','GNB',26,16,8,59,52,586,11,current_timestamp,current_timestamp
'Julio Jones','ATL',31,9,9,68,51,771,3,current_timestamp,current_timestamp
'Tim Patrick','DEN',27,15,15,79,51,742,6,current_timestamp,current_timestamp
'Jimmy Graham','CHI',34,16,15,76,50,456,8,current_timestamp,current_timestamp
'Darius Slayton','NYG',23,16,15,96,50,751,3,current_timestamp,current_timestamp
'Kendrick Bourne','SFO',25,15,5,74,49,667,2,current_timestamp,current_timestamp
'Anthony Miller','CHI',26,16,6,76,49,485,2,current_timestamp,current_timestamp
'James Robinson','JAX',22,14,14,60,49,344,3,current_timestamp,current_timestamp
'James White','NWE',28,14,0,62,49,375,1,current_timestamp,current_timestamp
'Nelson Agholor','LVR',27,16,13,82,48,896,8,current_timestamp,current_timestamp
'Christian Kirk','ARI',24,14,10,79,48,621,6,current_timestamp,current_timestamp
'George Kittle','SFO',27,8,8,63,48,634,2,current_timestamp,current_timestamp
'Mike Williams','LAC',26,15,11,85,48,756,5,current_timestamp,current_timestamp
'Giovani Bernard','CIN',29,16,10,59,47,355,3,current_timestamp,current_timestamp
'Damiere Byrd','NWE',27,16,14,77,47,604,1,current_timestamp,current_timestamp
'A.J. Green','CIN',32,16,14,104,47,523,2,current_timestamp,current_timestamp
'Aaron Jones','GNB',26,14,14,63,47,355,2,current_timestamp,current_timestamp
'Danny Amendola','DET',35,14,5,69,46,602,0,current_timestamp,current_timestamp
'Dallas Goedert','PHI',25,11,9,65,46,524,3,current_timestamp,current_timestamp
'Austin Hooper','CLE',26,13,13,70,46,435,4,current_timestamp,current_timestamp
'D'Andre Swift','DET',21,13,4,57,46,357,2,current_timestamp,current_timestamp
'Antonio Brown','TAM',32,8,4,61,45,483,4,current_timestamp,current_timestamp
'Rob Gronkowski','TAM',31,16,16,77,45,623,7,current_timestamp,current_timestamp
'Demarcus Robinson','KAN',26,16,9,59,45,466,3,current_timestamp,current_timestamp
'Dalvin Cook','MIN',25,14,14,54,44,361,1,current_timestamp,current_timestamp
'Tyler Higbee','LAR',27,15,15,60,44,521,5,current_timestamp,current_timestamp
'Zach Pascal','IND',26,16,14,71,44,629,5,current_timestamp,current_timestamp
'Gerald Everett','LAR',26,16,7,62,41,417,1,current_timestamp,current_timestamp
